zh,en
"我和她的芭蕾導師, 皮門諾夫, 也交上了朋友.","I've made friends with her ballet master, Pimenov."
"聽著, 海因裏希.","Listen, Heinrich."
"我拿走了我所有的積蓄, 所有的一切... 我要好好的享受一下.","I've taken all my savings, everything... and I'm going to enjoy spending it."
把它們都花光.,All of it.
"這裏貴的要命, 海因裏希.","It's terribly expensive here, Heinrich."
但是確實真的太美妙了.,But it's wonderful.
我不能!,I can't!
我會失業的.,I'll lose my job.
那還不如把我關進監獄算了.,It's like being in jail.
"看我的了, 爸爸.","Rely on me, Papa."
我會把合併的事辦妥的.,I will make this merger go through.
我不會失敗的.,I never fail.
可憐的夫人.,Poor Madame.
她的心在受著折磨.,Her mind is tortured.
我怕她會...,I'm afraid she will....
"我不需要什麼建議, 非常感謝.","I don't need advice, thanks very much."
我需要錢!,I need money!
隨時隨地都有音樂.,Music all the time.
太美妙了.,It's wonderful.
大飯店.,Grand Hotel.
人來人往.,"People coming, going."
一切如常.,Nothing ever happens.
格魯辛斯卡婭夫人不需要用車.,Mme. Grusinskaya will not want her car.
格魯辛斯卡婭夫人不用車.,Mme. Grusinskaya's car is not to be brought.
- 過來.,- Here.
"- 有什麼吩咐, 男爵?","- Yes, Baron?"
- 阿多爾弗斯對你很生氣.,- Adolphus is very vexed with you.
"- 什麼事, 男爵?","- Yes, Baron?"
你今天早上沒有帶它出去遛達.,You didn't take him for his walk this morning.
- 您的房門鎖了.,- Your door was locked.
- 你可以敲門的.,- You might have knocked.
難道你沒意識到嗎?,Don't you realize?
這就是為什麼 他們這些小狗不喜歡在大飯店裏.,That's why they don't like little dogs in big hotels.
門是鎖的.,The doors are locked.
他們不能出來.,They can't get out.
你明白嗎?,You see?
"- 是的, 男爵.","- Yes, Baron."
- 我想讓你帶它出去好好轉轉..,- I want you to take him for a good walk.
- 明白嗎?,- You understand?
"- 明白, 男爵.","- Yes, Baron."
- 還有別把它累壞了.,- Don't bring him back till he's exhausted.
"- 好的, 男爵.","- No, Baron."
等一下.,Wait a minute.
"好的, 沒事了.",It's quite all right.
- 喂?,- Hello?
- 是給我的嗎?,- Is that for me?
不.,No.
格魯辛斯卡婭夫人要用車.,Mme. Grusinskaya's car is to be brought.
晚上好.,Good evening.
能幫我把這個交給格魯辛斯卡婭夫人嗎?,Will you send this to Mme. Grusinskaya?
"- 好的, 男爵.","- Yes, Baron."
- 非常感謝.,- Thanks very much.
"我的鑰匙, 168號房.","My key, 168."
"- 晚上好, 皮門諾夫先生.","- Good evening, Mr. Pimenov."
"- 晚上好, 男爵.","- Good evening, Baron."
- 漂亮的夫人還好嗎?,- How is the beautiful lady?
- 格魯辛斯卡婭?,- Grusinskaya?
"事實上, 男爵, 今晚我們有點擔心.","To tell the truth, Baron, tonight we're a little bit nervous."
您昨晚去劇院了嗎?,Were you at the theater last night?
"只要有格魯辛斯卡婭的舞蹈, 我都會去的.",I'm always there when Grusinskaya dances.
- 昨晚的演出並不理想.,- Last night was not so good.
- 我覺得她演的好極了.,- I thought she was splendid.
普萊辛格先生在嗎?,Is Mr. Preysing in?
我是茲諾威特茲博士.,I'm Dr. Zinnowitz.
- 普萊辛格先生.,- Mr. Preysing.
有人找.,Visitor.
- 你來了.,- Here you are.
- 對不起讓你久等了.,- Sorry to have kept you waiting.
等你?,Waiting?
我是在等 曼徹斯特那邊的消息.,I've been waiting for news from Manchester.
- 還沒有消息嗎?,- No news yet?
- 沒有.,- No news.
不太妙.,That's bad.
"除非和薩克遜尼亞公司合併, 否則你會撐不下去的.",You can't hold out unless you merge with the Saxonia company.
- 我知道.,- I know.
"- 可只有當你的公司和曼徹斯特人 ... 有聯繫時, 薩克遜尼亞公司 才會答應合併.",- The Saxonia company will never sign... unless your firm is tied up with the Manchester people.
他們並不是一定要合併.,They don't have to.
我提醒你.,I told you that.
"是的, 我知道.","Yes, I know."
我很擔心.,I'm very much worried.
但是我在曼徹斯特也有代理.,But I have my agent in Manchester.
我在等那邊的電報.,I'm expecting a telegram any minute.
你必須得給他們一個好印象.,You have to create a good impression.
要看上去很樂觀.,Seem optimistic.
不要向薩克遜尼亞公司的人 提起曼徹斯特.,Don't even mention Manchester to the Saxonia crowd.
要靈活些.,Be clever.
"不, 我不能那麼做, 茲諾威特茲博士.","No, I cannot do that, Dr. Zinnowitz."
我一直都是在相互信任的基礎上做生意.,I'm used to making my deals on a solid basis.
"我是一個誠實的商人, 一個好丈夫和一個好父親.","I'm an honest businessman, a good husband and a father."
我沒有什麼要隱瞞的.,I have nothing to conceal.
否則我會活著很不開心的.,I could not live happily otherwise.
我們去別的地方商量一下.,We'll go someplace and talk it over.
我在等一個速記員.,I'm expecting a stenographer.
叫她去普萊辛格先生的房間. 166號房.,Send her to Mr. Preysing's room. 166.
"好的, 茲諾威特茲博士.","Yes, Dr. Zinnowitz."
- 有我的信嗎?,- Letters for me?
"- 沒有, 醫生.","- No, Doctor."
- 電報?,- Telegrams?
他好像一直在等什麼東西 ... 但是一直都沒有來.,He always seems to be waiting for something... but it never happens.
- 有留言嗎?,- No messages?
"是的, 我打過仗.","Yes, I was in the war."
"- 你的帳單, 男爵.","- Your bill, Baron."
"- 你再也沒有做過, 是不是?","- You're not beginning that again, are you?"
請先處理一下我的事吧.,Please pay some attention to me.
我沒時間了.,I've no time.
"請等一會兒, 先生.","Kindly wait one moment, sir."
- 有人找過我嗎?,- Has anyone asked for me?
我們會為你留著這些房間的.,We're holding the rooms now.
"五間臥室, 兩間起居室.","Five bedrooms, two sitting rooms."
- 有多少人參加你們的聚會?,- How many in your party?
- 讓我想一下.,- Let me see.
"我媽媽, 兩個姊妹 --","My mother, two sisters..."
"- 真的, 這太過分了.","- Really, this is an imposition."
"- 先生, 請你等一會兒.","- Sir, kindly wait one moment, please."
- 有九個人.,- That makes nine.
"- 好的, 夫人.","- Yes, madam."
- 你要預留這些房間嗎?,- You wish to have the rooms held?
- 是的.,"- Yes, please."
還有 --,And then...
我不能再等了.,"Really, I won't wait any longer."
我已經等了很長時間了.,I've been here a very long time.
就這樣吧.,That's all right.
"聽著, 我等了三天, 才給我一個房間.","Look here, I waited three days before I got a room at all."
"我最後好不容易才等到的, 可這是什麼房間啊?","When I finally got one, what kind of a room was it?"
"- 一個很不錯的房間, 而且也不貴.","- A very nice room, and inexpensive."
- 我沒有讓你給我一個便宜的房間.,- I didn't ask you for a cheap room.
"我來這兒登記的時候, 我說過要一個便宜的房間嗎?","When I came here to live, did I ask you for a cheap room?"
我說過嗎?,Did I?
"- 你能不能等一會兒, 先生 --","- If you wait one moment, sir..."
- 我不能等了.,- I can't wait.
每一天都是寶貴的.,Every day is precious.
每小時...,Every hour...
- 176號房?,- 176?
- ... 每分鐘都是寶貴的.,- ...every minute is precious.
"我來這兒要住兩個星期, 或許三個星期.","I came to live here for two weeks, maybe three."
只有天知道.,Heaven only knows.
你們要多少我都能付得起.,I can pay whatever you want.
"我得病了, 我很累.",I'm tired and ill.
我不能再等下去了.,I can't wait.
- 這位先生是有意見嗎?,- The gentleman has a complaint?
- 他對559號房不滿意.,- He is dissatisfied with Room 559.
"是的, 我有意見.","Yes, I have a complaint."
我認為這絕對是要投訴的.,I think it's a perfectly fair complaint.
"我大老遠的過來, 就是想住在大飯店.",I came here from a great distance to live at the Grand Hotel.
"我要一個房間, 一個大房間.","I want a room, a big room."
給我的房間要和你們給 普萊辛格總經理的一模一樣.,The same kind of room you'd give General Director Preysing.
我和普萊辛格先生一樣.,I'm as good as Mr. Preysing.
我付得起普萊辛格先生 住的房間的錢.,I can pay for a room the same as Mr. Preysing.
難道你們就把我 安排在拐角的小房間裏? 那裏整天都是水管的砰砰聲.,"Would you stick him way off in a corner in a little room... where the water pipes go ""pop"" all day?"
他可以住在我的房間.,He can have my room.
我住在哪兒都沒有關係.,It doesn't matter where I stay.
"不麻煩您了, 醫生.","That won't be necessary, Doctor."
安排克林格蘭先生住到176號房.,Mr. Kringelein will take Room 176.
那是我們這裏最豪華的房間.,It's one of our most expensive rooms.
"一個大房間, 最好的位置, 還帶一個酒吧間.","A large room on the front, and with a bar."
"- 一個私人的酒吧間, 我一個人專用的.","- With a private bar, exclusively mine."
"- 當然了, 先生.","- Certainly, sir."
這絕對是我想要的.,Exactly what I want.
太好了.,That's very kind.
